Ticker,CIK
vrtx,875320
bkng,1075531
eqix,1101239
gs,886982
rbgly,1420798
bdx,10795
tjx,109198
fdx,1048911
beke,1809587
fisv,798354
sbgsy,923734
duk,1326160
d,715957
cl,21665
snow,1640147
snp,1123658
apd,2969
uber,1543151
regn,872589
frcoy,1446595
ci,1739940
shw,89800
dnngy,1679771
itw,49826
atvi,718877
ntes,1110646
vmw,1124610
adp,8670
eadsy,1378580
so,92122
infy,1067491
esloy,1085922
dmlry,1067318
cme,1156375
enb,895728
csx,277948
hkxcy,1445476
mmc,62709
ice,1571949
bp,313807
ecl,31462
usb,36104
kddiy,1106215
pgr,80661
bsx,885725
ge,40545
tfc,92230
hum,49071
abb,1091587
mco,1059556
amat,6951
vale,917851
njdcy,1158967
nsc,702165
meli,1099590
tak,1395064
cb,896159
bam,1001085
shecy,1442651
dg,29534
mu,723125
pstvy,1689565
gpn,1123360
dkily,1446519
wday,1327811
noc,1133421
mufg,67088
kmb,55785
dell,1571996
bns,9631
nem,1164727
gold,756894
adsk,769397
ew,1099800
lrcx,707549
vcisy,1065198
jmhly,870016
pnc,713676
wm,823768
aon,315293
schw,316709
spot,1639920
gld,1222333
lzagy,1446711
ilmn,1110803
team,1650372
pbr,1119639
csuay,1445470
tal,1499620
olcly,1545460
eqnr,1140625
byddy,1445162
knyjy,1436793
rkt,1805284
biib,875045
wbk,719245
race,1648416
gm,1467858
relx,929869
lulu,1397187
hca,860730
phg,313216
aep,4904
adi,6281
bcmxy,1447011
bidu,1329099
vnja,1532383
safry,1364012
ceo,1095595
dlr,1297996
ngg,1004315
ntoiy,1436791
etn,1551182
rop,882835
veev,1393052
docu,1261333
pdrdy,899108
lnsty,1439584
cp,16875
mnst,865752
hmc,715153
ubs,1610520
dd,1666700
vlvly,753762
gd,40533
gvdny,1121631
mraay,1450468
ahchy,1448987
amx,1129137
bax,10456
psa,1393311
twlo,1447669
snap,1564408
emr,32604
toely,1443276
tri,1075124
jshly,879875
trp,1232384
chpxy,1528541
itub,1132597
vonoy,1652630
smfg,1022837
kdp,1418135
nxpi,1413447
ctsh,1058290
cvna,1690820
gis,40704
cfruy,948401
puk,1116578
bce,718940
khc,1637459
bmo,927971
ea,712515
itocy,355363
lhx,202058
bx,1393818
xel,72903
twtr,1418091
vod,839923
wfafy,1436381
fanuy,1446596
dxcm,1093557
abev,1565025
ebay,1065088
scco,1001838
cnc,1071739
sbac,1034054
dow,1751788
epd,1061219
eric,717826
exc,1109357
cop,1163165
stz,16918
cof,927628
ctas,723254
sxyay,1575851
ibn,1103838
lvs,1300514
sgen,1060736
ecify,1387438
sre,1032208
cmg,1058090
met,1099219
dnzoy,1446598
rost,745732
csgp,1057352
orly,898173
cm,1045520
tel,1385157
rht,1087423
idxx,874716
hnnmy,1396282
lgfry,1554394
aph,820313
egrny,1595085
vwdry,1330306
snps,883241
clpby,1294325
yahoy,1446437
engiy,1243443
ddog,1561550
vivhy,1127055
syy,96021
cmi,26172
mfg,1335730
pton,1639825
cmaky,1453056
crbjy,1454471
dboey,1437147
crwd,1535527
a,1090872
wba,1618921
mar,1048286
jci,833444
bk,1390777
san,891478
info,1598014
splk,1353283
chcjy,1495687
klac,319201
wec,783325
schyy,1491703
iqv,1478242
es,72741
pcar,75362
mtcpy,1159204
kkr,1404912
tt,1466258
trow,1113169
bby,764478
bbd,1160330
cdns,813672
hsy,47111
rsg,1060391
ppg,79879
mtch,891103
w,1616707
vrsk,1442145
msci,1408198
stm,932787
payx,723531
zbh,1136869
rdsmy,1339422
all,899051
vfc,103379
trumy,1446672
okta,1660134
crh,849395
cjpry,1334687
ing,1039765
cht,1132924
oran,1038143
kmi,1506307
peg,788784
mrna,1682852
yum,1041061
trv,86312
hcmly,948696
alc,1167379
otis,1781335
f,37996
mfc,1086888
bll,9389
glncy,1524684
mrvl,1058057
carr,1783180
e,1002242
anss,1013462
bgne,1651308
ovchy,1448817
svndy,1359519
azo,866787
dhi,882184
awk,1410636
ph,76334
bfa,14693
mchp,827054
wltw,1140536
unicy,1095054
rok,1024478
swk,93556
wcn,1318220
ttd,1671933
fnv,1456346
msi,68505
kr,56873
ed,1047862
hrl,48465
afl,4977
ftv,1659166
lbrda,1611983
tscdy,885834
ctryy,1462886
adm,7084
asazy,1253493
hpq,47217
alpmy,1446390
pins,1506293
tdg,1260221
nio,1736541
clx,21076
rprx,1802768
fast,815556
aptv,1521332
mkc,63754
pru,1137774
fms,1333141
cprt,900075
xlnx,743988
lyb,1489393
wit,1123799
glw,24741
roku,1428439
len,920760
swks,4127
alxn,899866
pdypy,1627168
cs,1159510
algn,1097149
fcau,1605484
aig,5272
zg,1617640
crary,1279967
lyg,1160106
hlt,1585689
rmd,943819
amady,1502104
cha,1191255
gmab,1434265
tme,1744676
rng,1384905
slf,1097362
siri,908937
mck,927653
edu,1372920
well,766704
panw,1327567
ame,1037868
mtd,1037646
chwy,1766502
wmb,107263
fcx,831259
codyy,1012037
khngy,1451287
ckhuy,1637120
zlndy,1638747
vrsn,1014473
xp,1787425
saxpy,1436778
ntr,1725964
tu,868675
yndx,1513845
ejpry,1093028
haity,1553473
psx,1534701
dia,1041130
luv,92380
aonny,1300175
avb,915912
gsx,1768259
ctva,1755672
k,55067
yumc,1673358
chd,313927
slb,87347
wpm,1323404
arzgy,1379235
wy,106535
u,1810806
odfl,878927
bcs,312069
dte,936340
ucbjy,1290640
otsky,1544613
cern,804753
nok,924613
ppl,922224
o,726728
stt,93751
amtd,1173431
dkng,1772757
tsn,100493
etp-pc,1161154
zijmy,1459580
dltr,935703
gbery,1179029
wst,105770
eog,821189
szkmy,1263521
cgemy,1084656
kbcsy,1411133
are,1035443
spg,1063761
gwlly,1536278
etr,65984
ccc,1764046
eqr,906107
ibkr,1381197
ec,1444406
gdrx,1809519
ztcoy,1445156
ndaq,1120193
rci,733099
ajg,354190
baesy,895564
dal,27904
fmx,1061736
sbhmy,1604982
cabhf,1436647
frc,1132979
incy,879169
sgsoy,1069347
gasny,1269920
chu,1113866
flt,1175454
payc,1590955
ssmxy,1517231
aee,1002910
eix,827052
gww,277135
pltr,1321655
akzoy,3124
immu,722830
pcg,1004980
tyidy,1130894
abc,1140859
mdy,936958
mgddy,896076
aem,2809
coup,1385867
gctay,1158089
efx,33185
dfs,1393612
tef,814052
zs,1713683
ftnt,1262039
fts,1666175
bntx,1776985
amp,820027
cnq,1017413
smnny,1640117
mpc,1510295
syiey,1444718
bsbr,1471055
mktx,1278021
gwlif,850918
ttwo,946581
lh,920148
bbva,842180
hznp,1492426
vmc,1396009
tdoc,1477449
keys,1601046
epam,1352010
gelyy,1474968
tlpfy,1450682
tcom,1269238
fojcy,1436740
grmn,1121788
su,311337
coo,711404
mxim,743316
rol,84839
ccep,1650107
cag,23217
tlk,1001807
gib,1061574
poahy,1450346
cdw,1402057
frrvy,1438571
nrily,1179493
akam,1086222
db,1159508
nvzmy,1131345
iau,1278680
cms,811156
viac,813828
holx,859737
vlo,1035002
qsr,1618756
amcr,1748790
cqp,1383650
weicy,1452191
etsy,1370637
snn,845982
nwg,844150
svnly,1448613
foxa,1754301
mtsfy,1446641
iq,1722608
zi,1794515
ksu,54480
snmry,1437771
caj,16988
chkp,1015922
imbby,1072670
grfs,1438569
tlsny,1169870
ppery,1461748
ix,1070304
mplx,1552000
ntrs,73124
tsco,916365
stne,1745431
ctxs,877890
dpz,1286681
tru,1552033
syf,1601712
agr,1634997
invh,1687229
anet,1596532
ashty,1518258
alny,1178670
vtr,740260
pugoy,908829
cbre,1138118
ssnc,1402436
ip,51434
sonvy,1450681
whlkf,1449594
fe,1031296
fitb,35527
thlly,1722401
nipnf,72127
work,1764925
kmx,1170010
exas,1124140
dov,29905
ppccy,1446747
tfx,96943
bio,12208
br,1383312
var,203527
nvr,906163
bili,1723690
atus,1702780
xyl,1524472
bepc,1791863
mlm,916076
dgx,1022079
cwycy,1436965
qrvo,1604778
podd,1145197
skm,1015650
ir,1699150
sgioy,1281721
fujhy,800364
peak,765880
expd,746515
cghly,1550635
mt,1243429
rkuny,1294591
cccgy,1448985
ryaay,1038683
ophly,940821
dish,1001082
jhx,1159152
et,1276187
ste,1757898
cpb,16732
sui,912593
wix,1576789
ctlt,1596783
dqjcy,1446597
pxd,1038357
mga,749098
li,1791706
lvgo,1639225
mas,62996
nice,1003935
shmay,1555379
exr,1289490
dre,783280
pki,31791
wmg,1319161
xpev,1810997
burl,1579298
tyl,860731
zbra,877212
nue,73309
bip,1406234
uri,1067701
maa,912595
tif,98246
pkx,889132
hig,874766
mdb,1441816
gpc,40987
chrw,1043277
nmr,1163653
rcl,884887
pool,945841
fandy,1454175
bmrn,1048477
bki,1627014
ess,920522
cah,721371
iex,832101
jbht,728535
mkl,1096343
sedg,1419612
fmc,37785
txg,1770787
avtr,1722482
dri,940944
ter,97210
logi,1032975
kl,1713443
gds,1526125
bkr,1701605
iktsy,1444714
sjm,91419
nlok,849399
lnt,352541
elan,1739104
lsxma,1560385
ccl,815097
cinf,20286
hubs,1404655
sivb,719739
cjewy,1555574
rnecy,1246135
ulta,1403568
masi,937556
kb,1445930
bxp,1037540
hei,46619
net,1477333
ce,1306830
tw,1758730
gnrc,1474735
ppd,1793294
expe,1324424
cday,1725057
gddy,1609711
vici,1705696
bro,79282
jkhy,779152
phm,822416
ldos,1336920
pags,1712807
atasy,1437775
trmb,864749
mpwr,1280452
fico,814547
iff,51253
argx,1697862
stx,1137789
hpe,1645590
j,52988
mtb,36270
key,91576
acgl,947484
nngry,1690981
ckisy,1065989
szlmy,1438844
aes,874761
enph,1463101
ndvly,800928
wat,1000697
osh,1564406
fds,1013237
fbhs,1519751
monoy,1583055
oke,1039684
wab,943452
xngsy,1454948
abmd,815094
ln,1611820
qgen,1015820
zen,1463172
lbtya,1570585
hes,4447
rf,1281761
pba,1546066
umc,1033767
bpy,1545772
hdely,1400691
whr,106640
caixy,1535628
lng,3570
moh,1179929
swgay,1438845
shg,1263043
evrg,1711269
nvcr,1645113
lyv,1335258
els,895417
ato,731802
athm,1527636
wpc,1025378
znh,1041668
cfg,759944
stbfy,1587200
rdy,1135951
myok,1552451
crl,1100682
czr,1590895
tdy,1094285
cgnx,851205
otex,1002638
pfg,1126328
kep,887225
kgc,701818
erie,922621
jxhly,1487533
ndsn,72331
has,46080
bah,1443646
szsay,1444147
ednmy,1581671
iep,813762
ubsfy,1446702
it,749251
ui,1511737
dt,1773383
iliay,1570932
avlr,1348036
fyrty,1452190
ntco,1776967
dnb,1799208
alsmy,1062066
omc,29989
suz,909327
wdc,106040
cabo,1632127
wrb,11544
lumn,18926
apo,1411494
gh,1576280
cnp,1130310
rmyhy,1636804
rpm,110621
bynd,1655210
gfi,1172724
penn,921738
cnhi,1567094
emn,915389
srpt,873303
au,1067428
hrely,1445159
iac,1800227
lii,1069202
sam,949870
aap,1158449
snyfy,1418001
avy,8818
fsly,1517413
arry,1820721
entg,1101302
mgm,789570
iclr,1060955
psmmy,1439580
cck,1219601
dva,927066
qdel,353569
coihy,1513977
ual,100517
surry,1556607
pkg,75677
hal,45012
kkpny,1001474
rjf,720005
ggdvy,925428
umicy,1477038
disca,1437107
sdxay,1169715
kikoy,1446656
emraf,1127248
udr,74208
gjnsy,1531384
cea,1030475
ben,38777
znga,1439404
ggg,42888
wtrg,78128
maruy,801645
nly,1043219
rdeiy,1438654
sgpyy,1253494
prdsy,1527249
yasky,1559460
cgasy,1555207
ally,40729
amigy,1438930
bep,1533232
vips,1529192
ptc,857005
lw,1679273
pega,1013857
alb,915913
aeoxf,1450280
teva,818686
bwa,908255
run,1469367
l,60086
enia,912505
wpp,806968
bntgy,1533945
mpw,1287865
hrgly,1528651
bap,1001290
fosuy,1462456
ingiy,1133689
hban,49196
estc,1707753
fnf,1331875
xray,818479
siely,1453732
oxy,797468
ranjy,1112439
tech,842023
ihg,858446
smfky,1537547
ntap,1002047
chgg,1364954
cboe,1374310
uelmo,100826
wrk,1732845
bfam,1437578
jbaxy,1475011
ndeky,353991
cicoy,1445161
on,1097864
cheoy,1453930
uhs,352915
sjr,932872
nuan,1002517
glpg,1421876
amh,1562401
cpt,906345
sqm,909037
alle,1579241
ipgp,1111928
pcty,1591698
cchgy,1558633
lb,701985
cone,1553023
shwgy,1505223
zlioy,1546084
nbix,914475
mtuay,1342237
ttc,737758
alfvy,863344
wb,1595761
cms-pb,201533
ftch,1740915
aqn,1174169
cg,1527166
mhgvy,1578526
nkla,1731289
cvac,1809122
lkq,1065696
wso,105016
pnw,764622
mtn,812011
asx,1122411
rnr,913144
aos,91142
trex,1069878
gliba,808461
wu,1365135
kof,910631
cuk,1125259
ahexy,1446251
frfhf,915191
cxo,1358071
gl,320335
ebr,1439124
imo,49938
plan,1540755
eqh,1333986
aseky,1450206
fivn,1288847
vst,1692819
oled,1005284
cnpay,1450278
hsic,1000228
smtoy,95227
asnd,1612042
gwre,1528396
hegiy,1449217
wlk,1262823
kotmy,1543727
mgp,1656936
xpo,1166003
smg,825542
azpn,929940
nwsa,1564708
ni,1111711
rgen,730272
efgsy,1445153
cna,21175
lyft,1759509
zayo,1608249
oc,1370946
txt,217346
sna,91440
glpi,1575965
smmyy,1551402
bill,1786352
acsay,1448375
nfe,1749723
re,1095073
wynmy,1480134
jazz,1232524
ayx,1689923
xyigy,1508669
pubgy,1050952
dbx,1467623
snphy,1501108
mmp,1126975
hst,1070750
tokuy,1131652
bch,1161125
wynn,1174922
prymy,1437672
hwm,4281
pwr,1050915
ipxhy,1309035
rgld,85535
irm,1020569
sci,89089
mbt,1115837
bsy,1031308
myl,1623613
amed,896262
seic,350894
agnc,1423689
y,775368
slv,1330568
fnd,1507079
wsm,719955
che,19584
dox,1062579
mlco,1381640
iaugy,1206571
snx,1177394
ffiv,1048695
pnr,77360
rtmvy,1516536
nrg,1013871
nyt,71691
tap,24545
mhk,851968
cold,1455863
hubb,48898
amwl,1393584
ver,1507385
fslr,1274494
glob,1557860
ocft,1780531
wilyy,1436673
htcmy,1446648
mrtx,1576263
aiz,1267238
nwl,814453
sbsw,1786909
crcby,1553915
rnlsy,1416039
exel,939767
g,1398659
rh,1528849
atr,896622
ksryy,1668501
teck,886986
grpty,1395167
stor,1538990
mos,1285785
gfl,1780232
jnpr,1043604
cree,895419
lamr,1090425
five,1177609
rohcy,1442653
shpmy,1570300
st,1477294
knx,1492691
lea,842162
ath,1527469
gps,39911
atdry,1647435
ohi,888491
iaa,1745041
asomy,1492075
acm,868857
alv,1034670
uhal,4457
csl,790051
cog,858470
tiscy,773917
vopky,1452188
chdn,20212
mdiby,1379481
armk,1584509
morn,1289419
paas,771992
vedl,1370431
ugi,884614
prah,1613859
tndm,1438133
btg,1429937
rga,898174
frog,1800667
slfpy,1370418
rs,861884
hds,1573097
abmrf,1784384
ncno,1566895
lhcg,1303313
ipg,51644
grub,1594109
pen,1321732
reg,910606
vno,899689
casy,726958
adt,1703056
nvax,1000694
magoy,1437144
hlf,1180262
cf,1324404
shcay,800840
dnkn,1357204
kc,1795589
sjmhy,1599962
isuzy,763665
eluxy,813810
acad,1070494
deck,910521
bsac,1027552
adpt,1478320
aci,1646972
bery,1378992
rba,1046102
ions,874015
dlb,1308547
lnc,59558
yy,1530238
aal,6201
bg,1144519
xlrn,1280600
clzny,1366235
ngls-pa,1379661
cube,1298675
ehc,785161
cbsh,22356
asgly,7646
hmtly,353990
reyn,1786431
gntx,355811
stld,1022671
wex,1309108
aacay,1447647
irtc,1388658
lad,1023128
ach,1161611
oge,1021635
see,1012100
bmrry,1671235
cien,936395
gwr,1012620
dci,29644
dseey,1481045
rhi,315213
nnn,751364
japsy,318269
swi,1739942
arw,7536
plug,1093691
angi,1705110
shtdy,1556605
lpla,1397911
ccozy,1398879
uvrby,1533920
cib,1071371
pii,931015
afg,1042046
bigc,1626450
cakfy,1446707
voya,1535929
krc,1025996
tol,794170
warfy,901684
prgo,1585364
cacc,885550
kajmy,1446660
phi,78150
manh,1056696
dar,916540
mksi,1049502
bgaoy,1325378
ttm,926042
ggb,1073404
rexr,1571283
vrm,1580864
colm,1050797
lite,1633978
crsp,1674416
sc,1580608
post,1530950
ares,1176948
enggy,1446294
brkr,1109354
arcc,1287750
olli,1639300
hnp,929058
cx,1076378
nvta,1501134
smar,1366561
rp,1286225
pfpt,1212458
levi,94845
ntra,1604821
frt,34903
ts,1190723
faf,1472787
iphi,1160958
hii,1501585
jsgry,1442656
synh,1610950
bld,1633931
srcl,861878
dada,1793862
vrt,1674101
hrc,47518
aaxn,1069183
hbi,1359841
fsv,1637810
cma,28412
flex,866374
axta,1616862
hta,1360604
tdhoy,1288098
oukpy,1436786
aeg,769218
fhn,36966
hllgy,1674534
bhc,885590
lnegy,1437041
leg,58492
agco,880266
shmuy,1564228
bj,1531152
site,1650729
tho,730263
osagy,1603194
klycy,1449614
jbl,898293
leco,59527
sbs,1170858
auy,1264089
ebs,1367644
eslt,1027664
tsu,1826168
fvrr,1762301
dks,1089063
cgc,1737927
azek,1782754
dct,1160951
egp,49600
cwen-a,1567683
hocff,1450349
fr,921825
sommy,1409236
ivz,914208
msa,66570
ttek,831641
aiv,922864
vslr,1607716
psxp,1572910
huya,1728190
allo,1737287
rare,1515673
plnt,1637207
clgx,36047
caci,16058
hele,916789
h,1468174
ogfgy,845033
cdk,1609702
mrwsy,1446128
bwxt,1486957
bncdy,1667075
pso,938323
midd,769520
wf,1264136
dnfgy,1454473
tsuky,702257
rdfn,1382821
cor,1490892
appf,1433195
lsi,944314
hun,1307954
flo,1128928
son,91767
wen,30697
bpmc,1597264
jll,1037976
osk,775158
rl,1037038
itt,216228
wwd,108312
bli,1689657
an,350698
nlsn,1492633
kim,879101
ua,1336917
ingr,1046257
zion,109380
nomd,1651717
acc,1283630
cd,1807192
aval,1504764
skx,1065837
bc,14930
pb,1068851
icl,941221
ewbc,1069157
qtwo,1410384
jobs,1295484
bl,1666134
clpxy,1490083
appn,1441683
vir,1706431
usfd,1665918
lstr,853816
diisy,1563255
lpl,1290109
lanc,57515
kt,892450
dooo,1748797
chh,1046311
eeft,1029199
jef,96223
fang,1539838
enic,1659939
nvro,1444380
bbio,1743881
gmed,1237831
ektay,1451160
clr,732834
arwr,879407
vlpny,1378984
flir,354908
mpfry,1417695
stag,1479094
dsgx,1050140
wh,1722684
nati,935494
dxc,1688568
pfgc,1618673
tpx,1206264
tpr,1116132
goco,1808220
ori,74260
frpt,1611647
hae,313143
iova,1425205
uthr,1082554
nclh,1513761
hwdjy,1563177
stmp,1082923
bcauy,891765
saic,1571123
alk,766421
wrtby,1436771
jhg,1274173
dei,1364250
orcc,1655888
omf,1584207
cve,1475260
ev,350797
mdu,67716
esnt,1448893
sbny,1288784
pbct,1378946
txrh,1289460
bldp,1453015
pac,1347557
virt,1592386
lfus,889331
cnvvy,1694271
chng,1756497
paa,1070423
pvh,78239
aemmy,1437776
wms,1604028
ssl,314590
pri,1475922
phys,1477049
felty,1447250
iivi,820318
hcm,1648257
ntnx,1618732
kmpr,860748
sndr,1692063
spce,1706946
cuz,25232
tkc,1071321
sdc,1775625
rykky,1592049
stwd,1465128
bzzuy,1437774
viv,1066119
arna,1080709
band,1514416
knsl,1669162
sid,1049659
cncn,1191334
man,871763
ash,1674862
nav,808450
tfsl,1381668
api,1802883
pfsi,1745916
neo,1077183
ayi,1144215
pstg,1474432
zhuzy,1556616
tkr,98362
mrcy,1049521
tpdky,1436652
slab,1038074
cbpo,1369868
ccmp,1102934
evbg,1437352
bsmx,1698287
inov,1619954
mms,1032220
mth,833079
mat,63276
env,1337619
shi,908732
brthy,14595
tfii,1588823
cybr,1598110
nkrky,1436790
doyu,1762417
yeti,1670592
maury,62919
asmvy,1447945
hli,1302215
ffin,36029
wing,1636222
medp,1668397
cfr,39263
ida,1057877
xrx,1770450
hr,899749
four,1794669
pag,1019849
pinc,1577916
tnet,937098
slgn,849869
mlluy,1485888
gulry,1449218
allk,1564824
cae,1173382
suopy,1347141
hog,793952
gil,1061894
mdla,1540184
sail,1627857
pe,1594466
bhvn,1689813
nxst,1142417
alsn,1411207
iart,917520
tree,1434621
ssrm,921638
ccxi,1340652
crus,772406
rlay,1812364
fcn,887936
hqy,1428336
qts,1577368
npsky,354470
gfszy,1438927
dnli,1714899
nvst,1757073
gpk,1408075
lscc,855658
ssd,920371
legn,1801198
nycb,910073
dava,1656081
futu,1754581
sekey,1261759
wsc,1647088
fgen,921299
aan,706688
wmgi,1492658
rbc,82811
tenb,1660280
cw,26324
trno,1476150
upchy,1447772
vac,1524358
tx,1342874
bokf,875357
tptx,1595893
ccj,1009001
bldr,1316835
jamf,1721947
novt,1076930
tcf,19612
eme,105634
nep,1603145
dvn,1090012
fl,850209
asan,1477720
kbh,795266
rnmby,1450345
neu,1282637
hkib,1769731
qlys,1107843
axs,1214816
curlf,1756770
rli,84246
swch,1710583
lope,1434588
nghc,1578735
doc,1574540
cfx,1420800
icui,883984
csxxy,1541309
gbt,1629137
ryn,52827
go,1771515
cri,1060822
vrns,1361113
verx,1806837
ppc,802481
itvpy,1283708
wimhy,1451554
unm,5513
rxt,1810019
mor,1340243
hain,910406
he,354707
shlx,1610466
rxn,1439288
imvt,1764013
wygpy,1450021
sf,720672
nfg,70145
esgr,1363829
exp,918646
musa,1573516
sdgr,1490978
ogs,1587732
fold,1178879
blue,1293971
apa,6769
brx,1581068
goos,1690511
trgp,1389170
neog,711377
hiw,921082
onem,1404123
ugp,1094972
ng,1173420
etrn,1747009
jbgs,1689796
twst,1581280
tv,912892
cef,1726122
auoty,1172494
cmhhy,1446751
wwe,1091907
expo,851520
cc,1627223
vvv,1674910
halo,1159036
ssb,764038
irdm,1418819
src,1308606
ramp,733269
fate,1434316
laz,1311370
fls,30625
brks,933974
prlb,1443669
hypmy,1486749
swx,1692115
sepjy,1518521
thg,944695
slg,1040971
mzday,1447122
vvnt,1713952
hlne,1433642
byd,906553
msm,1003078
al,1487712
msgs,1636519
unf,717954
reta,1358762
cnne,1704720
smtc,88941
ftdr,1727263
lpsn,1102993
asgn,890564
ebrpy,1450461
ufpi,912767
chffy,1601994
tpl,97517
vicr,751978
powi,833640
saia,1177702
bkh,1130464
aer,1378789
wts,795403
affs,1365555
eqt,33213
pnm,1108426
psb,866368
agi,1178819
tgtx,1001316
wes,1423902
nov,1021860
snv,18349
wal,1212545
insp,1609550
czz,1402902
expi,1495932
adc,917251
nrz,1556593
sgms,750004
newr,1448056
ostk,1130713
hpp,1482512
seb,88121
sogo,1713947
lspd,1823306
gtes,1718512
lpx,60519
awi,7431
stn,1131383
ptct,1070081
ccohy,1461283
jcom,1084048
foxf,1424929
psn,275880
grp-un,1564538
insm,1104506
asr,1123452
ard,1689662
mxchy,1435969
bxmt,1061630
kwr,81362
tmhc,1562476
safe,1688852
mro,101778
mtg,876437
eqc,803649
hhc,1498828
uso,1327068
bpop,763901
kbr,1357615
irdey,1530256
slqt,1794783
gbci,868671
cldr,1535379
cvet,1752836
amg,1004434
fizz,69891
cbd,1038572
fcnca,798941
por,784977
eye,1710155
altr,1701732
gdot,1386278
hasi,1561894
malry,1537280
hmy,1023514
aciw,935036
nari,1531048
hfc,48039
vrnt,1166388
clh,822818
aaon,824142
mtz,15615
ibp,1580905
kzmyy,1438929
kss,885639
wns,1356570
bcpc,9326
hrb,12659
qrtea,1355096
jblu,1158463
sigi,230557
lpro,1806201
crox,1334036
adrzy,1436467
omcl,926326
nvt,1720635
lgih,1580670
slm,1032033
apnhy,1454177
ajrd,40888
thkly,1443275
gshd,1726978
ora,1296445
kurry,1446655
ubsi,729986
dcph,1654151
momo,1610601
rpd,1560327
hxl,717605
bvn,1013131
sage,1597553
apps,317788
ensg,1125376
zto,1677250
rdn,890926
roymy,1592438
svmk,1739936
nktr,906709
tigo,912958
mdc,773141
apam,1517302
prsp,1724670
trup,1371285
diod,29002
dorm,868780
dnp,806628
roll,1324948
lmnd,1691421
pch,1338749
sbra,1492298
bak,1071438
ens,1289308
ay,1601072
cbu,723188
ozk,1569650
wern,793074
fti,1681459
dao,1781753
lxp,910108
sfix,1576942
ccoi,1158324
vly,714310
unvr,1494319
clf,764065
lcii,763744
elp,1041792
cig,1157557
teo,932470
cpri,1530721
wpx,1518832
ncr,70866
mime,1644675
thc,70318
pnfp,1115055
pci,1558629
sem,1320414
bmch,1574815
cr,25445
svnby,1464794
gwph,1351288
ael,1039828
eqx,1756607
jbt,1433660
cwh,1669779
nus,1021561
alrm,1459200
evr,1360901
spsc,1092699
feye,1370880
srne,850261
viav,912093
esi,1590714
gmely,1449219
achc,1520697
pbsfy,1137849
meggy,1487786
eidx,1731831
mant,892537
acia,1651235
ofc,860546
enr,1632790
pzza,901491
imab,1778016
awr,1056903
fele,38725
ifs,1615903
nhi,877860
gtbif,1795139
hl,719413
nhnky,1543726
ale,66756
kod,1468748
cwst,911177
opk,944809
laur,912766
syna,817720
amkr,1047127
cbrl,1067294
plmr,1761312
amn,1142750
eoccy,926864
bhf,1685040
axsm,1579428
cns,1284812
blkb,1280058
avnt,1122976
sr,1126956
homb,1331520
adsw,1585790
bjchy,1454468
iipr,1677576
wynd,1361658
gtls,892553
vmi,102729
shak,1620533
safm,812128
golf,1672013
wk,1445305
cohr,21510
box,1372612
jteky,1446661
am,1623925
fskr,1525759
ailih,18654
gra,1045309
ttec,1013880
asccy,1600930
nsp,1000753
kmt,55242
mcrb,1609809
spwr,867773
door,893691
umpq,1077771
ping,1679826
ab,825313
jeld,1674335
cigi,913353
aqua,1604643
njr,356309
bbavy,1399224
trtn,1660734
sxt,310142
znkky,1705455
avt,8858
wtfc,1015328
itri,780571
brfs,1122491
swav,1642545
spb,109177
krnt,1625791
staa,718937
yueiy,1444719
wdfc,105132
trip,1526520
wbs,801337
